,ID,Universidad,Ciudad,Pais,Nivel_Ingles,Distancia_desde_Valencia,Distancia,Vuelo_directo
0,0,Avans University,Hertogenbosch,Netherlands,B2,1428.4221256050826,Destino cercano,False
1,1,Saxion University,Enschede,Netherlands,B2,1523.3538975160573,Destino cercano,False
2,2,EDC Paris,Paris,France,B2,1066.1683852031988,Destino cercano,True
3,3,EDHEC ,Lille,France,B2,1269.6124799288557,Destino cercano,False
4,4,IAE Grenoble,Grenoble,France,,807.7852104058876,Destino cercano,False
5,6,Maynooth University,Maynooth,Ireland,Proficiency test,1618.9006379450407,Destino cercano,False
6,7,Ulster University,Belfast,United Kingdom,B2,1734.2783432609647,Destino cercano,False
7,8,University of Worcester,Worcester,United Kingdom,B2,1423.1307489809562,Destino cercano,False
8,9,UWE Bristol,Bristol,United Kingdom,B2,1344.9095005437994,Destino cercano,True
9,10,IDC Herzliya,Herzliya,Israel,Proficiency test,3251.82262966723,Destino cercano,False
10,11,Seminole State College,Orlando,United States of America,,7321.816986155008,Destino lejano,False
11,12,Solbridge International School of Business,Daejeon,South Korea,,10030.979684572478,Destino lejano,False
12,14,Xiamen University,Xiamen,China,Proficiency test,10460.641605998753,Destino lejano,False
13,15,Tecnológico de Monterrey,Monterrey,México,No requerido,9017.001654388489,Destino lejano,False
