,ID,Name,Country,University,University_ranking,English_level,Distance_to_vlc,Direct_flight,Avg_temp,Rainy_days,Bikeshare_stations_km2,Cost_of_living,Unemployment_rate
0,0,Enschede,Netherlands,Saxion_University,3039,B2,1523.3538975160573,0,12.2,183,0.007007708479327261,839.3,6.35400009155273
1,1,Hertogenbosch,Netherlands,Avans_University,6300,B2,1428.4221256050826,0,11.3,180,0.021915406530791146,801.0199999999999,6.35400009155273
2,2,Paris,France,EDC_Paris,0,B2,1066.1683852031988,1,12.1,164,13.25426944971537,931.4800000000001,19.1450004577637
3,3,Lille,France,EDHEC,2514,B2,1269.6124799288557,0,10.4,171,7.21264367816092,745.03,19.1450004577637
4,4,Grenoble,France,IAE_Grenoble,309,,807.7852104058876,0,10.9,144,0.9928295642581357,862.7300000000001,19.1450004577637
5,5,Hameenlinna,Finland,HAMK_University,6265,,2935.438695012078,0,5.9,106,0.0,869.44,16.2959995269775
6,6,Maynooth,Ireland,Maynooth_University,1837,Proficiency test,1619.199373595295,0,11.0,128,1.0095735422106178,883.08,13.0659999847412
7,7,Belfast,Northern Ireland,Ulster_University,635,B2,1734.2783432609647,0,9.4,158,0.33043478260869563,686.62,11.3090000152588
8,8,Worcester,England,University_of_Worcester,3107,B2,1423.1307489809562,0,14.1,113,0.09014423076923077,709.06,11.3090000152588
9,9,Bristol,England,UWE_Bristol,649,B2,1344.9095005437994,1,14.3,136,0.23636363636363636,765.38,11.3090000152588
10,10,Herzliya,Israel,IDC_Herzliya,1323,Proficiency test,3251.82262966723,0,20.3,74,2.4386902315385672,851.29,7.25600004196167
11,11,Orlando,United States,Seminole_State_College,5728,,7321.816986155008,0,22.7,117,0.1425661914460285,771.9800000000001,8.54300022125244
12,12,Daejeon,South Korea,Solbridge_International_School_of_Business,0,,10030.979684572478,0,13.0,116,0.48536494998147467,901.56,10.9700002670288
13,13,Concepcion,Chile,Universidad_del_Desarrollo,1680,,11272.463866181073,0,12.9,102,0.0,554.07,18.9699993133545
14,14,Xiamen,China,Xiamen_University,268,Proficiency test,10460.641605998753,0,21.1,121,0.22822631913541006,464.31,10.3339996337891
15,15,Monterrey,Mexico,Tecnologico_de_Monterrey,831,,9017.001654388489,0,22.3,60,0.0,375.32,7.07200002670288
